,good,bad
493,"""If I have enough breath left with which to reach thatlittle house, I may be saved,"" he said to himself.","""If I have enough breath left with which to reach thatlittle house, I may be saved,"" he said to hims"
494,"Not waiting another moment, he darted swiftly throughthe woods, the Assassins still after him.","Not waiting another moment, he "
495,"After a hard race of almost an hour, tired and out ofbreath, Pinocchio finally reached the door of the cottageand knocked.  No one answered.","After a hard race of almost an hour, ti"
496,"He knocked again, harder than before, for behind himhe heard the steps and the labored breathing of hispersecutors.  The same silence followed.","He knocked again, harder than before, for behind himhe heard the steps and the labored breathing of "
497,"As knocking was of no use, Pinocchio, in despair,began to kick and bang against the door, as if he wantedto break it.  At the noise, a window opened and a lovelymaiden looked out.  She had azure hair and a face whiteas wax.  Her eyes were closed and her hands crossed onher breast.  With a voice so weak that it hardly could beheard, she whispered:","As knocking was of no use, Pinocchio, in despair,began to kick and bang against the door, as if he wantedto break it.  At the noise, a window opened and a lovelymaiden looked out.  She had azure hair and a face whiteas wax.  Her eyes were closed and her hands crossed onher breast.  With a "
498,"""No one lives in this house.  Everyone is dead.""","""No one lives i"
499,"""Won't you, at least, open the door for me?""cried Pinocchio in a beseeching voice.","""Won't you, at least, open the door for me?""cried Pinocchio in a beseeching v"
500,"""I also am dead.""",""""
501,"""Dead?  What are you doing at the window, then?""","""Dead?  What are y"
502,"""I am waiting for the coffin to take me away.""","""I am waiting for the coffi"
503,"After these words, the little girl disappeared and thewindow closed without a sound.","After these words, the little girl disappeared and thewindow cl"
504,"""Oh, Lovely Maiden with Azure Hair,"" criedPinocchio, ""open, I beg of you.  Take pity on a poor boy whois being chased by two Assass--""","""Oh, Lovely Maiden with Azure Hair,"
505,"He did not finish, for two powerful hands grasped himby the neck and the same two horrible voices growledthreateningly: ""Now we have you!""","He did not finish, for two powerful "
506,"The Marionette, seeing death dancing before him,trembled so hard that the joints of his legs rattled andthe coins tinkled under his tongue.",T
507,"""Well,"" the Assassins asked, ""will you open yourmouth now or not?  Ah!  You do not answer?  Very well,this time you shall open it.""","""Well,"" the Assassins asked, ""will you open yourmouth now or not?  Ah!  You do not answer?  Very "
508,"Taking out two long, sharp knives, they struck twoheavy blows on the Marionette's back.","Taking out two long, sharp knives, they struck twoheavy blows on"
509,"Happily for him, Pinocchio was made of very hardwood and the knives broke into a thousand pieces.  TheAssassins looked at each other in dismay, holding thehandles of the knives in their hands.","Happily for him, Pinocchio was made of very hardwood and the knives broke into a thousand pieces.  TheAssas"
510,"""I understand,"" said one of them to the other, ""thereis nothing left to do now but to hang him.""","""I understand,"" said one of them to the other, ""thereis nothing left to do now but to"
511,"""To hang him,"" repeated the other.","""To hang him,"" repea"
512,"They tied Pinocchio's hands behind his shoulders andslipped the noose around his neck.  Throwing the ropeover the high limb of a giant oak tree, they pulled tillthe poor Marionette hung far up in space.",They tied Pinocchio's hands behind his shoulders andslipped the noose around his neck.  Throwing the ropeove
513,"Satisfied with their work, they sat on the grass waitingfor Pinocchio to give his last gasp.  But after three hoursthe Marionette's eyes were still open, his mouth still shutand his legs kicked harder than ever.",Satisfied with their w
514,"Tired of waiting, the Assassins called to him mockingly:""Good-by till tomorrow.  When we return in the morning,we hope you'll be polite enough to let us find youdead and gone and with your mouth wide open.""With these words they went.","Tired of waiting, the Assassins called to him mockingly:""Good-by till tomorrow.  When we return in the morning,we hope you'll be polite enough to let us find youdead and gone and with your mouth"
515,"A few minutes went by and then a wild wind startedto blow.  As it shrieked and moaned, the poor littlesufferer was blown to and fro like the hammer of a bell.The rocking made him seasick and the noose, becomingtighter and tighter, choked him.  Little by little a filmcovered his eyes.","A few minutes went by and then a wild wind startedto blow.  As it shrieked and moaned, the poor littlesuffer"
516,"Death was creeping nearer and nearer, and the Marionettestill hoped for some good soul to come to his rescue,but no one appeared.  As he was about to die, he thoughtof his poor old father, and hardly conscious of what hewas saying, murmured to himself:","Death was creeping nearer and nearer, and the Marionettestill hoped for some good soul to come to his rescue,but no one appeared.  As he was about to die, h"
517,"""Oh, Father, dear Father!  If you were only here!""","""Oh, Father, dear "
518,"These were his last words.  He closed his eyes, openedhis mouth, stretched out his legs, and hung there, as ifhe were dead.","These were his last words.  He closed his eyes, openedhis mouth, stretched out his legs, and hung "
519,CHAPTER 16,CH
520,"The Lovely Maiden with Azure Hair sends for the poor Marionette,puts him to bed, and calls three Doctors to tell her if Pinocchiois dead or alive","The Lovely Maiden with Azure Hair sends for the poor Marionette,puts him to bed, and calls three Doctors t"
521,"If the poor Marionette had dangled there much longer,all hope would have been lost.  Luckily for him, theLovely Maiden with Azure Hair once again looked out ofher window.  Filled with pity at the sight of the poor littlefellow being knocked helplessly about by the wind, sheclapped her hands sharply together three times.","If the poor Marionette had dangled there much longer,all hope would have been lost.  Luckily for him, theLovely Maiden with Azure Hair once again looked out "
522,"At the signal, a loud whirr of wings in quick flight washeard and a large Falcon came and settled itself on thewindow ledge.","At the signal, a loud whirr of wings in "
523,"""What do you command, my charming Fairy?"" asked the Falcon,bending his beak in deep reverence (for it mustbe known that, after all, the Lovely Maiden with AzureHair was none other than a very kind Fairy who had lived,for more than a thousand years, in the vicinity of the forest).","""What do you command, my charming Fairy?"" asked the Falcon,bending his beak in deep reverence (for it mustbe known that, after all, the Lovely Maiden with AzureHair was none other than a very kind Fairy who had lived,for more than a thousand yea"
524,"""Do you see that Marionette hanging from the limbof that giant oak tree?""","""Do you see that Marionette hanging from the limb"
525,"""I see him.""","""I see h"
526,"""Very well.  Fly immediately to him.  With yourstrong beak, break the knot which holds him tied,take him down, and lay him softly on the grassat the foot of the oak.""","""Very well.  Fl"
527,"The Falcon flew away and after two minutes returned,saying, ""I have done what you have commanded.""",The Falcon flew away and after two minutes r
528,"""How did you find him?  Alive or dead?""","""How did you find him?"
529,"""At first glance, I thought he was dead.  But I foundI was wrong, for as soon as I loosened the knot aroundhis neck, he gave a long sigh and mumbled with a faintvoice, `Now I feel better!'""","""At first glance, I thought he was dead.  But I foundI was wrong, for as soon as I loosened the knot aroundhis neck, he gave a long"
530,"The Fairy clapped her hands twice.  A magnificentPoodle appeared, walking on his hind legs just like aman.  He was dressed in court livery.  A tricorn trimmedwith gold lace was set at a rakish angle over a wig of whitecurls that dropped down to his waist.  He wore a jauntycoat of chocolate-colored velvet, with diamond buttons,and with two huge pockets which were always filled withbones, dropped there at dinner by his loving mistress.Breeches of crimson velvet, silk stockings, and low,silver-buckled slippers completed his costume.  His tailwas encased in a blue silk covering, which was to protectit from the rain.","The Fairy clapped her hands twice.  A magnificentPoodle appeared, walking on his hind legs just like aman.  He was dressed in cour"
